player_name,team,games_vs_top16,rushing_yards_vs_top16,rushing_attempts_vs_top16,rushing_td_vs_top16,receiving_yards_vs_top16,receiving_receptions_vs_top16,rushing_avg_vs_top16
Jonathan Taylor,ind,7,589.0,126.0,6.0,184.0,20,4.67
Tony Pollard,ten,11,515.0,136.0,1.0,160.0,24,3.79
Travis Etienne Jr.,jax,8,515.0,124.0,5.0,99.0,16,4.15
Chase Brown,cin,8,513.0,112.0,1.0,128.0,26,4.58
Kyren Williams,lar,7,472.0,95.0,4.0,115.0,18,4.97
James Cook III,buf,5,471.0,107.0,1.0,123.0,10,4.4
Jahmyr Gibbs,det,5,379.0,78.0,3.0,137.0,19,4.86
Kenneth Walker III,sea,6,378.0,76.0,2.0,64.0,9,4.97
Derrick Henry,bal,6,373.0,88.0,3.0,50.0,6,4.24
Quinshon Judkins,cle,6,369.0,99.0,4.0,50.0,11,3.73
Ashton Jeanty,lv,8,352.0,114.0,2.0,196.0,33,3.09
Saquon Barkley,phi,6,350.0,113.0,2.0,152.0,17,3.1
Christian McCaffrey,sf,7,337.0,118.0,2.0,434.0,45,2.86
Breece Hall,nyj,5,328.0,85.0,0.0,117.0,9,3.86
Jaylen Warren,pit,6,310.0,86.0,2.0,161.0,17,3.6
De'Von Achane,mia,4,295.0,47.0,2.0,150.0,18,6.28
Tyrone Tracy Jr.,nyg,6,279.0,70.0,1.0,142.0,13,3.99
Javonte Williams,dal,4,278.0,72.0,3.0,44.0,8,3.86
TreVeyon Henderson,ne,4,277.0,40.0,2.0,46.0,10,6.92
Woody Marks,hou,8,275.0,76.0,1.0,136.0,12,3.62
Rico Dowdle,car,5,270.0,61.0,2.0,70.0,11,4.43
Kareem Hunt,kc,6,269.0,65.0,4.0,58.0,8,4.14
Kimani Vidal,lac,4,254.0,64.0,2.0,38.0,8,3.97
Bam Knight,ari,7,217.0,61.0,3.0,109.0,16,3.56
Josh Jacobs,gb,4,212.0,65.0,2.0,68.0,10,3.26
Alvin Kamara,no,5,207.0,61.0,0.0,107.0,15,3.39
Bijan Robinson,atl,4,194.0,55.0,0.0,206.0,22,3.53
Chris Rodriguez Jr.,wsh,6,170.0,46.0,3.0,0.0,0,3.7
Aaron Jones Sr.,min,4,137.0,29.0,0.0,73.0,11,4.72
D'Andre Swift,chi,3,116.0,34.0,2.0,42.0,8,3.41
Bucky Irving,tb,1,71.0,17.0,0.0,50.0,6,4.18
RJ Harvey,den,5,54.0,24.0,0.0,110.0,14,2.25
