Team,Rushing Yards (Yds),Yards Per Game (Y/G)
New York Giants,"1,886",157.2
Cincinnati Bengals,"1,716",156.0
Buffalo Bills,"1,638",148.9
Miami Dolphins,"1,569",142.6
Chicago Bears,"1,519",138.1
Washington Commanders,"1,513",137.5
Atlanta Falcons,"1,464",133.1
Tennessee Titans,"1,461",132.8
Minnesota Vikings,"1,416",128.7
New York Jets,"1,407",127.9
Carolina Panthers,"1,391",115.9
Dallas Cowboys,"1,377",125.2
New Orleans Saints,"1,359",123.5
Baltimore Ravens,"1,293",117.5
Philadelphia Eagles,"1,266",115.1
Arizona Cardinals,"1,256",114.2
Los Angeles Chargers,"1,252",113.8
San Francisco 49ers,"1,211",100.9
Pittsburgh Steelers,"1,163",105.7
Las Vegas Raiders,"1,137",103.4
Los Angeles Rams,"1,130",102.7
Cleveland Browns,"1,125",102.3
Detroit Lions,"1,119",101.7
Kansas City Chiefs,"1,074",97.6
Tampa Bay Buccaneers,"1,074",97.6
Indianapolis Colts,"1,071",97.4
Green Bay Packers,"1,061",96.5
New England Patriots,"1,052",87.7
Houston Texans,"1,014",92.2
Seattle Seahawks,999,90.8
Denver Broncos,974,88.5
Jacksonville Jaguars,922,83.8
